NOME,ID_LATTES,INSTITUICAO
MATHEUS PEREIRA PORTO,4538051688419864,e452d709-0e4f-46cb-9449-50dd5310ac274
MAURICIO CARDOSO DE SOUZA,2834522198832797,e452d709-0e4f-46cb-9449-50dd5310ac275
MAURICIO COVCEVICH BAGATINI,7725527284717963,e452d709-0e4f-46cb-9449-50dd5310ac276
MAX DE CASTRO MAGALHAES,0466940378902617,e452d709-0e4f-46cb-9449-50dd5310ac277
MEINHARD SESSELMANN,7410226395981171,e452d709-0e4f-46cb-9449-50dd5310ac278
MICHEL BESSANI,9450846955939545,e452d709-0e4f-46cb-9449-50dd5310ac279
MICHEL MELO OLIVEIRA,3734951353090143,e452d709-0e4f-46cb-9449-50dd5310ac280
MIRIAM CRISTINA SANTOS AMARAL MORAVIA,1901180413775034,e452d709-0e4f-46cb-9449-50dd5310ac281
NILO DE OLIVEIRA NASCIMENTO,2505780539057327,e452d709-0e4f-46cb-9449-50dd5310ac282
NILSON TADEU RAMOS NUNES,9962287474857833,e452d709-0e4f-46cb-9449-50dd5310ac283
NOEL TORRES JUNIOR,5017904358148825,e452d709-0e4f-46cb-9449-50dd5310ac284
OSCAR RICARDO SANDOVAL RODRIGUEZ,9140603072132053,e452d709-0e4f-46cb-9449-50dd5310ac285
PATRICIA NASCIMENTO PENA,5778873769416387,e452d709-0e4f-46cb-9449-50dd5310ac286
PAULA BAMBERG,5414242263588749,e452d709-0e4f-46cb-9449-50dd5310ac287
PAULO CESAR DE MATOS RODRIGUES,8425618060126915,e452d709-0e4f-46cb-9449-50dd5310ac288
PAULO EUSTAQUIO DE FARIA,8566727057812765,e452d709-0e4f-46cb-9449-50dd5310ac289
PAULO FERNANDO MONTEIRO PALMEIRA,3949117654274914,e452d709-0e4f-46cb-9449-50dd5310ac290
PAULO ROBERTO PEREIRA ANDERY,3463303263991617,e452d709-0e4f-46cb-9449-50dd5310ac291
PAULO VINICIUS TREVIZOLI,0421890550183372,e452d709-0e4f-46cb-9449-50dd5310ac292
PEDRO BASTOS COSTA,9797700814765523,e452d709-0e4f-46cb-9449-50dd5310ac293
PEDRO BENEDITO CASAGRANDE,6024374437993139,e452d709-0e4f-46cb-9449-50dd5310ac294
PEDRO HENRIQUE ALVES CAMPOS,8156174118241403,e452d709-0e4f-46cb-9449-50dd5310ac295
